4K频道,#genre#
CGTN记录,http://10.0.0.26:35455/itv/7114647837765104058.m3u8?cdn=hnbblive
CGTNALBY,http://10.0.0.26:35455/gaoma/cgtnar.m3u8
cgtndocumentary,http://10.0.0.26:35455/gaoma/cgtndoc.m3u8
CGTNEN,http://10.0.0.26:35455/gaoma/cgtnen.m3u8
cgtnfrench,http://10.0.0.26:35455/gaoma/cgtnfr.m3u8
cgtnru,http://10.0.0.26:35455/gaoma/cgtnru.m3u8
cgtnsp,http://10.0.0.26:35455/gaoma/cgtnsp.m3u8

其他,#genre#
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
CHC家庭影院,https://gdcucc.v1.mk/gdcucc/chcjtyy.m3u8
CHC动作电影,https://gdcucc.v1.mk/gdcucc/chcdzdy.m3u8
中国教育1台,http://10.0.0.26:35455/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育4台,http://10.0.0.26:35455/itv/5000000011000031126.m3u8?cdn=bestzb
咪咕全民热练,http://10.0.0.26:35455/itv/3000000020000031315.m3u8?cdn=FifastbLive
求索动物,http://10.0.0.26:35455/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录,http://10.0.0.26:35455/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学,http://10.0.0.26:35455/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活,http://10.0.0.26:35455/itv/6000000002000003382.m3u8?cdn=wasusyt
SITV动漫秀场,http://10.0.0.26:35455/itv/5000000011000031113.m3u8?cdn=bestzb
SITV都市剧场,http://10.0.0.26:35455/itv/5000000011000031111.m3u8?cdn=bestzb
SITV法治天地,http://10.0.0.26:35455/itv/9001547084732463424.m3u8?cdn=bestzb
SITV欢笑剧场,http://10.0.0.26:35455/itv/5000000002000009455.m3u8?cdn=bestzb
SITV金色学堂,http://10.0.0.26:35455/itv/5000000010000026105.m3u8?cdn=bestzb
SITV劲爆体育,http://10.0.0.26:35455/itv/5000000002000029972.m3u8?cdn=bestzb
SITV乐游,http://10.0.0.26:35455/itv/5000000011000031112.m3u8?cdn=bestzb
SITV魅力足球,http://10.0.0.26:35455/itv/5000000011000031207.m3u8?cdn=bestzb
SITV七彩戏剧,http://10.0.0.26:35455/itv/5000000011000031116.m3u8?cdn=bestzb
SITV生活时尚,http://10.0.0.26:35455/itv/5000000002000019634.m3u8?cdn=bestzb
SITV游戏风云,http://10.0.0.26:35455/itv/5000000011000031114.m3u8?cdn=bestzb

8K频道,#genre#
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
cctv8k,http://10.0.0.26:35455/gaoma/cctv8k_36m.m3u8


卫视,#genre#
北京卫视,http://10.0.0.26:35455/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视,http://10.0.0.26:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
北京纪实科教,http://10.0.0.26:35455/itv/1000000001000001910.m3u8?cdn=ystenlive
北京纪实科教,http://10.0.0.26:35455/itv/1000000005000265020.m3u8?cdn=ystenlive
北京卡酷少儿,http://10.0.0.26:35455/itv/5000000011000265008.m3u8?cdn=bestzb
BTV-重温经典,http://10.0.0.26:35455/bptv/10000100000000050000000003887494.m3u8
萌宠TV,http://10.0.0.26:35455/bptv/10000100000000050000000003887495.m3u8
淘BABY,http://10.0.0.26:35455/bptv/10000100000000050000000003887496.m3u8
淘剧场,http://10.0.0.26:35455/bptv/10000100000000050000000003887497.m3u8
淘电影,http://10.0.0.26:35455/bptv/10000100000000050000000003887498.m3u8
淘娱乐,http://10.0.0.26:35455/bptv/10000100000000050000000003887499.m3u8
北京体育休闲,http://10.0.0.26:35455/bptv/10000100000000050000000003870779.m3u8
北京新闻,http://10.0.0.26:35455/bptv/10000100000000050000000003870780.m3u8


安徽卫视,http://10.0.0.26:35455/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视,http://10.0.0.26:35455/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视,http://10.0.0.26:35455/itv/1000000005000265025.m3u8?cdn=ystenlive


东南卫视,http://10.0.0.26:35455/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,http://10.0.0.26:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
广西卫视,http://10.0.0.26:35455/itv/5000000011000031118.m3u8?cdn=bestzb
深圳卫视,http://10.0.0.26:35455/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视,http://10.0.0.26:35455/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视,http://10.0.0.26:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
天津卫视,http://10.0.0.26:35455/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视,http://10.0.0.26:35455/itv/6000000001000009186.m3u8?cdn=wasusyt
天津卫视,http://10.0.0.26:35455/itv/1000000005000265026.m3u8?cdn=ystenlive


甘肃卫视,http://10.0.0.26:35455/itv/5000000011000031121.m3u8?cdn=bestzb


广东卫视,http://10.0.0.26:35455/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,http://10.0.0.26:35455/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视,http://10.0.0.26:35455/itv/1000000005000265034.m3u8?cdn=ystenlive


贵州卫视,http://10.0.0.26:35455/itv/5000000004000025843.m3u8?cdn=bestzb


海南卫视,http://10.0.0.26:35455/itv/5000000004000006211.m3u8?cdn=bestzb


河北卫视,http://10.0.0.26:35455/itv/5000000006000040016.m3u8?cdn=bestzb


河南卫视,http://10.0.0.26:35455/itv/5000000011000031119.m3u8?cdn=bestzb

黑龙江卫视,http://10.0.0.26:35455/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视,http://10.0.0.26:35455/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视,http://10.0.0.26:35455/itv/1000000005000265029.m3u8?cdn=ystenlive


湖北卫视,http://10.0.0.26:35455/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视,http://10.0.0.26:35455/itv/6000000001000015436.m3u8?cdn=wasusyt
湖北卫视,http://10.0.0.26:35455/itv/1000000005000265023.m3u8?cdn=ystenlive


湖南卫视,http://10.0.0.26:35455/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视,http://10.0.0.26:35455/itv/6000000001000018044.m3u8?cdn=wasusyt
湖南卫视,http://10.0.0.26:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
